streams working with VS1053_ext

//______________________________________________________________________
320k streams 

107.8 Radio Jackie                        www.radiojackie.com:5873/
ai-radio.org (ogg)                        listen.ai-radio.org:8000/320.ogg?cc=DE&now=1511557873.987&
AmysFM                                    94.23.222.12:8024/amysfm
AORock Radio Station                      184.75.223.178:8079#
Austria AlpenRadio                        51.255.104.137:10030/
BluesMen Channel                          78.129.234.163:35641/
Blur FM - Buenos Aires Argentinia         64.34.175.149:8000/blurfm03
Chatworx Radio                            chatworx-radio.de:1180/
Chill Out Zone                            air.chillout.zone:8000/radio
Randstad Radio                            212.237.51.88:80/stream/2/
Dance radio                               pool.cdn.lagardere.cz:80/dance-radio320.mp3
DJ Marc                                   172.93.237.106:8024/stream
Hi On Line Classic Radio                  mediaserv30.live-streams.nl:2199/tunein/hionlineclassic.pls
Hi On Line Gold Radio                     mediaserv30.live-streams.nl:8000/stream
Hi On Line Latin Radio                    mediaserv33.live-streams.nl:2199/tunein/hionlinelatin.pls
Hi On Line Lounge Radio                   mediaserv33.live-streams.nl:2199/tunein/hionlinelounge.pls
Hi On Line Radio                          mediaserv30.live-streams.nl:2199/tunein/hionline.pls
Hi On Line World Radio                    mediaserv38.live-streams.nl:8027/live
Hit 45s                                   kastos.cdnstream.com:80/1345_320
KSER (ogg)                                streaming.kser.org:8000/kser.ogg
Mi-Soul Radio                             50.7.71.219:7504/stream
NNBC                                      proxima.shoutca.st:9126/stream
Organlive EU 320k                         play2.organlive.com:7000/320
Pinguin Radio                             pr320.pinguinradio.com/listen.pls
Pop Rock FM 320K                          88.198.10.229:8065/stream/
Psy Chill Zone                            air.chillout.zone:8020/radio
Radio Caroline 259 Gold                   5.79.87.131:8253/
Radio Racja Belarus                       radio2.teploe.net:8000/racja320
RadioReadymix.nl                          server-26.stream-server.nl:8522/stream
Radio Monique 963 Gold                    www.radiomonique.nl/winamp_RM_320.pls
RadioMonsterFM - Schlager                 schlager.radiomonster.fm/320.mp3
RadioMonsterFM - Tophits                  tophits.radiomonster.fm/320.mp3
RadioMonsterFM - Evergreens               evergreens.radiomonster.fm/320.mp3
radio night italy                         equinox.shoutca.st:8007/
Radio Paradise - Naim exclusive           stream-dc1.radioparadise.com:80/aac-320
Radio RFR Frequence Retro                 91.121.165.41:9078/autodj

RADIO SATELLITE                           195.154.180.106:8058/autodj
RADIO SATELLITE2                          195.154.180.106:8108/autodj
Radio Schlagerfreunde                     51.255.104.137:8091/stream/
Radio SWR                                 148.251.57.185:9306/
Radio Trelleborg - MP3 High               stream.nsp.se:8000/RaTbg_MP3_Hi
RTI Radio Totai International             81.169.141.17:32400
SceneSatRadio                             sentinel.scenesat.com:8000/scenesatmax
Soundart Radio 102.5FM                    icecast.commedia.org.uk:8000/soundart.mp3
Thuisradio                                151.80.44.127:8304

//______________________________________________________________________
ogg streams

RADIO1                                    stream.radioreklama.bg:80/radio1.ogg
ENERGY                                    stream.radioreklama.bg:80/nrj_low.ogg
RADIO 1ROCK                               stream.radioreklama.bg:80/radio1rock.ogg
LogosRadio.info OGG 64 kb/s               ogosradio.info:8000/logosradio.ogg
SVCS - Radio META CZ                      vm1357.cust.netio.cz:8002/live.ogg
CSFF Live Radio                           csff.od.ua:8000/radio
WMBG AM 740                               stream.wmbgradio.com:8000/wmbg.ogg
The Sound of the 90s                      streaming.radiodancefloor.it:80/live.vorbis
THE OLDIE STATION                         theoldiestation.dyndns.org:8020/stream.ogg
KULTRADIO                                 ice.kultradio.fm:80/kult128.ogg
1radio                                    live.pervoeradio.net:7000/live48.ogg
Tailadon Streams - Old Time Radio         taliadon.ddns.net:8000/tpsotr
KXLE FM 95.3 Live OGG 64 kb/s             kxleamfm.com:8000/kxlefm.ogg
Radio Helikon                             radio.helikon.bg:9000/live_ogg
Offshore Music Radio                      bitsmitter.com:8006/omr.ogg
bermuda.funk                              streaming.fueralle.org:8000/bermudafunk.ogg

//______________________________________________________________________
chunked streams

Radio Kiepenkerl                          radiokiepenkerlsued.radiovonhier.de/high/stream.mp3
Hellwig Radio West                        hellwegradiowest.radiovonhier.de/high/stream.mp3
Friesepiraten.nl                          149.210.188.75/proxy/friesepiraten?mp=/stream192

//______________________________________________________________________
asx playlist (wma)

MacSlon's Irish Pub Radio                 macslons-irish-pub-radio.com/media.asx 
Accent-FM                                 www.accentfm.com/wp-content/plugins/station-pro/player/wmp.asx
BigB21!                                   www.bigb21.nl/listen.asx
Hireadio Centraal                         www.hitradiocentraal.nl/stream/HRC.asx

//______________________________________________________________________
mainstreams, most 128k


0N 70s	                                  s3.radionetz.de:8000/0n-70s.mp3	
0N 80s	                                  0n-80s.radionetz.de:8000/0n-80s.mp3	
0N 90s	                                  0n-90s.radionetz.de:8000/0n-90s.mp3	
0N Charts	                                0n-charts.radionetz.de:8000/0n-charts.mp3	
0N Dance	                                0n-dance.radionetz.de:8000/0n-dance.mp3	
0N Schlager	                              0n-schlager.radionetz.de:8000/0n-schlager.mp3	
0N Disco	                                0n-disco.radionetz.de:8000/0n-disco.mp3	
0N Electro	                              0n-electro.radionetz.de:8000/0n-electro.mp3	
0N Gay	                                  0n-gay.radionetz.de:8000/0n-gay.mp3	
030-berlinfm                              vtuner.stream.laut.fm/030-berlinfm
101FM.de Internetradio                    www.101fm.de/radio_links/listen.pls
104.6 RTL                                 rtlberlin.hoerradar.de/rtlberlin-live-mp3-128
105,5 DAS HITRADIO                        www.surfmusic.de/m3u/100-5-das-hitradio,4529.m3u
105.5 Spreeradio                          stream.spreeradio.de/spree-live/mp3-128/vtuner/
106.4 TOP FM                              mp3.topfm.c.nmdn.net/ps-topfm/livestream.mp3
1Live, WDR Koeln                          www.wdr.de/wdrlive/media/einslive.m3u
88vier                                    ice.rosebud-media.de:8000/88vier
89 HIT FM                                 stream.hitfm.de:9050/live
89.0 RTL                                  stream.89.0rtl.de/live/mp3-256/direktlinkHP/play.m3u
917XFM                                    138.201.251.247/917xfm_128
93,6 JAM FM                               stream.jam.fm/jamfm-live/mp3-128/vtuner/
94.3 RS2 Partymix                         stream.rs2.de/rs2-relax/mp3-128/internetradio
94.3 RS2                                  stream.rs2.de/rs2/mp3-128/internetradio
95.5 Charivari                            rs5.stream24.net:80/stream
98.8 KISS FM                              stream.kissfm.de/kissfm/mp3-128/internetradio
Absolut Radio                             stream.absolutradio.de/hq/mp3-160/vtuner/
Absolut Radio Relax                       stream.absolutradio.de/relax/mp3-160
AllgäuHIT                                 www.allgaeuhit.de/allgaeuhit.m3u
Alpenwelle                                live.alpenwelle.de/alpenwelle128
alsterradio                               live96.alsterradio.de/
AlternativeFM                             alternativefm.cast.addradio.de/alternativefm/simulcast/high/stream.mp3
ANTENNE BAYERN                            www.antenne.de/webradio/antenne.m3u
ANTENNE BAYERN Chillout                   mp3channels.webradio.antenne.de/chillout
ANTENNE BAYERN Fresh                      mp3channels.webradio.antenne.de/fresh
ANTENNE BAYERN Oldies but Goldies         mp3channels.webradio.antenne.de/oldies-but-goldies
ANTENNE BAYERN Top 40                     www.antenne.de/webradio/channels/top-40.m3u
Antenne Brandenburg vom rbb               www.antennebrandenburg.de/live.m3u
Antenne Idar-Oberstein                    mp3.stream.antenne-io.de/
Antenne Mainz                             www.surfmusik.de/m3u/antenne-mainz-106-6-fm,14569.m3u
ANTENNE MUENSTER                          stream.antennemuenster.de:8000/am128k
Antenne MV                                streams.antennemv.de/antennemv-live/mp3-192/vtuner/
Antenne Niederrhein                       www.surfmusic.de/m3u/antenne-niederrhein,7222.m3u
Antenne Niedersachsen                     stream.antenne.com/deutsch/mp3-128/stream.antenne.com/
Antenne Pirmasens                         mp3.stream.antenne-pirmasens.de/
Antenne Saar Livestream                   streaming01.sr-online.de/antennesaar_2.m3u
ANTENNE THUERINGEN                        stream.antennethueringen.de/live/mp3-192/play.m3u
Antenne Unna                              dd11422.kasserver.com:8010/
Antenne Zweibrücken                       mp3.stream.antenne-zweibruecken.de/
antenne 1 Stuttgart                       stream.antenne1.de/stream1/livestream.mp3
Antenne-AC                                mp3.antenneac.c.nmdn.net/ps-antenneac/livestream.mp3
antenne-koeln                             vtuner.stream.laut.fm/antenne-koeln
apollo radio                              streams.bcs-systems.de/apollo/live/sachsen/mp3/radioplayer/web
B5 aktuell                                br-b5aktuell-live.cast.addradio.de/br/b5aktuell/live/mp3/128/stream.mp3
baden.fm                                  badenfm.ip-streaming.net:8006/badenfm
Bavaradio                                 streamplus16.leonex.de:15268
Bayern 1 Oberbayern                       streams.br.de/bayern1obb_2.m3u
Bayern 2 Süd                              streams.br.de/bayern2sued_2.m3u
Bayern 3                                  streams.br.de/bayern3_2.m3u
Bayernwelle                               icebwso2.srv.co.at:8000/bwchg_hi
BB Radio - Berlin Club                    streambbr.ir-media-tec.com/berlin/mp3-128/vtuner_web_mp3/
Berliner Rundfunk                         138.201.252.6/brf_128
BHeins                                    46.163.75.84:8000
bigFM                                     srv05.bigstreams.de/bigfm-mp3-96
Bremen Eins                               dl-ondemand.radiobremen.de/bremeneins.m3u
Bremen Vier                               dl-ondemand.radiobremen.de/bremenvier.m3u
